turnover,age,gender_cent,gender_raw,educ_cent,educ_raw,manager_cent,manager_raw,cont_hour,cont_type_cent,cont_type_raw,lmx_cent,lmx_raw,infoshare_cent,infoshare_raw,voice_cent,voice_raw,paysatis_cent,paysatis_raw,fairness_cent,fairness_raw,proact,careeropp_cent,careeropp_raw
2.67,-0.36,-0.43,0.00,0.08,4.00,0.76,1.00,6.44,0.20,1.00,0.09,3.83,1.48,5.00,1.31,4.50,-0.37,3.00,-0.37,3.00,1.06,0.37,3.66
3.00,12.64,-0.43,0.00,-0.92,3.00,-0.24,0.00,6.44,0.20,1.00,0.01,3.75,0.48,4.00,0.81,4.00,0.63,4.00,0.63,4.00,0.06,0.71,4.00
1.00,20.64,0.57,1.00,-0.92,3.00,-0.24,0.00,-11.56,0.20,1.00,-0.07,3.67,1.48,5.00,-0.69,2.50,1.30,4.67,0.07,3.44,-0.94,0.37,3.66
2.00,8.64,-0.43,0.00,1.08,5.00,-0.24,0.00,6.44,0.20,1.00,0.34,4.08,-0.02,3.50,1.31,4.50,0.63,4.00,0.20,3.57,1.06,0.71,4.00
1.00,27.64,0.57,1.00,-0.92,3.00,-0.24,0.00,-7.56,0.20,1.00,0.84,4.58,1.48,5.00,1.56,4.75,1.63,5.00,1.63,5.00,1.06,1.71,5.00
2.00,31.64,0.57,1.00,-0.92,3.00,-0.24,0.00,-11.56,0.20,1.00,0.26,4.00,1.48,5.00,0.81,4.00,0.63,4.00,0.45,3.82,0.46,0.37,3.66
2.33,-0.36,0.57,1.00,1.08,5.00,0.76,1.00,-2.56,0.20,1.00,-0.74,3.00,-0.52,3.00,1.06,4.25,1.63,5.00,0.13,3.50,1.06,0.37,3.66
1.00,3.64,-0.43,0.00,-0.92,3.00,-0.24,0.00,8.44,-0.80,0.00,-0.24,3.50,1.48,5.00,-0.44,2.75,0.30,3.67,0.07,3.44,-0.14,0.71,4.00
2.33,17.64,-0.43,0.00,0.08,4.00,0.76,1.00,8.44,0.20,1.00,0.01,3.75,0.48,4.00,-0.44,2.75,-0.70,2.67,-0.62,2.75,-0.14,-0.63,2.66
1.33,5.64,-0.43,0.00,1.08,5.00,0.76,1.00,8.44,0.20,1.00,0.76,4.50,-1.52,2.00,-1.94,1.25,0.96,4.33,-0.99,2.38,0.86,-0.63,2.66
1.67,11.64,0.57,1.00,-0.92,3.00,-0.24,0.00,8.44,0.20,1.00,1.01,4.75,0.48,4.00,-0.44,2.75,-0.70,2.67,0.45,3.82,0.06,-0.63,2.66
1.33,8.64,-0.43,0.00,-1.92,2.00,-0.24,0.00,8.44,-0.80,0.00,0.18,3.92,-0.52,3.00,-0.44,2.75,-0.04,3.33,0.57,3.94,0.06,0.71,4.00
1.67,-1.36,-0.43,0.00,-0.92,3.00,0.76,1.00,6.44,0.20,1.00,-0.91,2.83,-1.52,2.00,-0.44,2.75,0.30,3.67,-0.05,3.32,0.26,-0.63,2.66
2.33,12.64,0.57,1.00,1.08,5.00,-0.24,0.00,0.44,0.20,1.00,-0.66,3.08,0.48,4.00,0.31,3.50,-0.37,3.00,-0.55,2.82,-0.14,-0.29,3.00
2.00,-18.36,0.57,1.00,-0.92,3.00,-0.24,0.00,-7.56,0.20,1.00,0.18,3.92,-1.52,2.00,-0.69,2.50,-0.37,3.00,-0.12,3.25,0.06,0.37,3.66
2.33,3.64,-0.43,0.00,-0.92,3.00,-0.24,0.00,8.44,0.20,1.00,0.09,3.83,-0.02,3.50,0.31,3.50,-0.04,3.33,-0.30,3.07,0.06,0.71,4.00
2.00,-0.36,0.57,1.00,1.08,5.00,-0.24,0.00,-3.56,-0.80,0.00,-0.41,3.33,-0.52,3.00,-0.19,3.00,0.30,3.67,-0.12,3.25,-0.34,0.37,3.66
1.00,16.64,0.57,1.00,-0.92,3.00,-0.24,0.00,-31.56,0.20,1.00,0.26,4.00,-1.52,2.00,-0.44,2.75,-0.37,3.00,0.32,3.69,0.06,-2.29,1.00
1.00,9.64,-0.43,0.00,-2.92,1.00,-0.24,0.00,-11.56,-0.80,0.00,-0.07,3.67,1.48,5.00,0.81,4.00,0.63,4.00,0.26,3.63,0.06,0.37,3.66
1.00,15.64,0.57,1.00,-1.92,2.00,-0.24,0.00,-31.56,-0.80,0.00,0.01,3.75,1.48,5.00,1.81,5.00,0.63,4.00,1.20,4.57,-0.34,1.04,4.33
1.33,20.64,-0.43,0.00,-0.92,3.00,-0.24,0.00,-21.56,-0.80,0.00,0.59,4.33,-0.02,3.50,0.06,3.25,-1.04,2.33,0.20,3.57,0.06,0.71,4.00
2.00,1.64,0.57,1.00,1.08,5.00,-0.24,0.00,-15.56,-0.80,0.00,-0.74,3.00,-1.52,2.00,-0.19,3.00,-0.70,2.67,-0.37,3.00,-0.94,-0.29,3.00
3.00,27.64,-0.43,0.00,1.08,5.00,-0.24,0.00,-18.56,0.20,1.00,-0.74,3.00,-1.52,2.00,-0.19,3.00,-0.37,3.00,-0.80,2.57,-0.14,-0.96,2.33
2.00,-10.36,-0.43,0.00,0.08,4.00,-0.24,0.00,-7.56,-0.80,0.00,0.09,3.83,0.98,4.50,0.81,4.00,0.30,3.67,-0.12,3.25,0.06,0.71,4.00
3.33,-13.36,0.57,1.00,1.08,5.00,-0.24,0.00,4.44,-0.80,0.00,0.01,3.75,-0.52,3.00,0.06,3.25,-0.70,2.67,-0.68,2.69,-0.74,0.04,3.33
1.00,-11.36,0.57,1.00,2.08,6.00,-0.24,0.00,8.44,0.20,1.00,1.26,5.00,1.48,5.00,1.31,4.50,-1.04,2.33,0.51,3.88,1.06,1.71,5.00
